run,car,bike,bus,cycle,walk,electricity,water,recycling,plastic
397,33.1,37.84,55.35,13.52,9.72,4.22,474.08,often,3
398,32.53,43.43,59.18,25.45,7.96,1.93,269.64,sometimes,2
399,26.72,33.32,31.97,19.85,5.46,3.4,164.47,often,2
400,32.02,41.46,42.52,26.53,5.19,7.4,220.75,always,9
401,25.7,30.9,43.85,18.39,5.31,5.02,400.05,never,4
402,26.53,33.13,28.3,18.58,8.78,6.89,129.66,sometimes,7
403,26.9,39.31,52.94,25.01,4.62,5.48,179.6,sometimes,6
404,27.67,38.36,30.08,22.18,5.01,8.21,271.55,always,6
405,20.52,39.56,40.01,19.58,4.62,1.74,197.57,never,5
406,24.61,37.89,48.15,26.19,4.43,6.13,237.9,often,4
407,25.78,37.72,53.67,18.39,7.86,8.51,155.63,often,1
408,33.93,33.94,37.52,27.17,7.01,3.13,397.98,sometimes,4
409,26.59,27.32,30.18,20.42,5.62,10.47,206.95,never,8
410,23.35,32.94,47.58,25.97,5.56,4.48,137.49,always,0
411,29.13,35.45,48.96,18.16,3.73,3.71,233.09,always,3
412,28.96,31.12,44.94,32.04,7.93,5.95,322.82,never,5
413,28.23,40.14,35.1,28.22,5.62,7.7,458.58,always,5
414,28.22,34.49,48.27,21.88,2.9,1.31,427.82,sometimes,2
415,20.41,42.3,50.14,19.83,4.42,6.45,391.37,always,2
416,32.32,29.42,26.94,19.61,5.53,7.97,243.45,often,3
417,29.96,37.94,31.04,13.88,4.7,8.37,511.99,always,8
418,27.36,39.04,33.36,29.83,5.82,7.01,398.98,never,3
419,27.2,33.08,48.89,19.9,5.8,6.9,181.09,always,6
420,36.79,38.97,25.93,24.05,3.4,7.51,176.67,always,0
421,30.77,32.73,51.12,31.28,6.72,9.03,375.08,often,3
422,28.08,31.85,52.99,30.52,5.07,3.08,436.04,always,6
423,24.36,39.59,26.08,32.58,3.8,7.54,316.98,often,5
424,36.19,37.25,49.03,27.38,4.05,3.99,173.85,sometimes,0
425,35.4,31.36,42.95,29.32,6.65,6.03,119.39,often,7
426,28.74,32.22,26.69,26.64,3.78,8.07,293.42,often,2
427,31.52,37.71,28.78,31.98,6.42,8.13,254.42,always,1
428,36.43,33.84,43.84,37.66,4.83,5.56,291.6,always,5
429,32.3,37.01,41.67,17.95,5.05,1.67,307.08,always,3
430,29.71,40.18,26.62,24.68,7.63,8.52,439.33,often,9
431,24.94,33.57,45.01,24.34,4.94,6.24,383.74,always,9
432,26.93,43.77,48.76,28.12,5.54,7.14,410.79,sometimes,5
433,24.24,26.85,36.87,11.2,4.39,6.78,372.49,always,5
434,25.03,38.62,32.81,22.67,6.88,6.55,255.4,always,4
435,31.42,35.1,37.9,35.04,5.27,7.08,327.19,never,2
436,37.19,31.41,41.24,18.35,6.68,2.1,225.58,never,4
437,27.62,37.61,41.86,15.59,7.14,2.16,387.7,sometimes,4
438,27.26,35.76,37.75,17.5,7.3,6.39,253.99,never,5
439,27.87,31.65,32.03,20.41,6.04,7.9,279.54,sometimes,0
440,32.51,26.92,39.16,25.41,3.89,7.35,240.2,sometimes,6
441,29.42,29.97,28.67,30.33,6.76,7.63,174.07,often,3
442,27.53,28.21,40.01,29.02,3.99,6.56,203.97,often,5
443,36.44,33.53,44.33,38.6,4.99,3.4,493.65,often,7
444,26.61,41.24,47.54,33.52,4.06,2.67,157.72,sometimes,7
445,30.41,43.17,34.25,31.54,5.79,3.78,234.43,never,5
446,32.48,44.1,34.88,11.63,3.58,6.41,407.24,often,0
447,30.0,32.27,46.13,31.71,4.26,2.86,202.41,never,0
448,33.55,31.67,45.0,25.44,6.2,9.65,258.81,sometimes,1
449,22.01,34.89,50.47,23.4,6.6,5.38,220.23,sometimes,3
450,30.77,37.61,52.37,22.64,4.7,7.58,453.98,sometimes,6
451,39.09,28.93,41.45,22.36,5.36,9.74,319.25,often,4
452,25.07,31.88,54.74,28.6,5.09,4.82,455.59,always,4
453,31.13,34.13,51.46,25.1,3.71,7.56,349.5,sometimes,5
454,25.05,38.1,40.21,28.44,3.02,5.94,408.91,never,5
455,37.2,34.3,40.25,14.32,7.65,8.01,474.77,often,0
456,36.02,34.08,34.68,30.27,6.62,2.1,309.8,sometimes,3
457,29.54,34.79,45.09,33.87,5.07,5.48,112.71,often,3
458,33.88,35.09,45.31,36.83,8.57,7.21,332.71,often,4
459,21.88,31.04,49.75,12.84,4.48,7.59,200.98,sometimes,4
460,27.86,39.31,34.2,13.09,4.28,7.65,347.48,sometimes,2
461,29.8,33.14,36.15,23.87,3.6,7.9,155.58,sometimes,3
462,35.47,33.52,45.65,18.89,5.14,8.51,264.31,sometimes,4
463,27.63,33.3,52.25,23.1,5.6,5.23,253.1,always,6
464,32.13,32.84,43.77,18.64,6.92,8.26,557.42,sometimes,3
465,28.86,29.96,38.38,23.6,6.69,8.63,198.9,sometimes,5
466,25.03,34.48,40.69,22.93,5.05,7.66,171.57,never,3
467,27.17,37.84,41.89,15.39,6.24,7.72,243.77,often,7
468,25.86,29.36,33.46,28.37,8.16,3.87,274.29,often,2
469,25.78,40.02,33.67,16.09,4.42,6.86,392.07,never,9
470,31.85,33.73,38.67,20.3,5.7,4.6,368.59,never,3
471,26.55,37.0,37.81,32.72,5.03,7.72,334.48,always,6
472,32.44,40.71,25.8,25.21,3.77,6.03,229.69,often,5
473,21.52,33.62,45.58,16.96,4.65,3.64,365.93,sometimes,7
474,27.93,41.63,42.38,15.39,5.79,4.72,239.06,never,4
475,24.48,35.44,46.38,18.5,7.11,7.78,298.75,always,4
476,28.42,39.69,38.65,22.58,5.91,5.44,109.89,never,6
477,29.89,33.11,37.78,32.92,4.32,1.73,538.81,sometimes,6
478,29.2,35.82,37.02,14.53,3.9,7.96,437.86,sometimes,6
479,25.73,30.64,53.27,26.91,4.71,8.9,378.35,sometimes,8
480,32.33,35.09,37.74,20.59,5.66,4.92,237.38,always,3
481,26.95,30.6,51.0,18.64,6.9,6.88,203.91,often,3
482,39.34,36.6,46.63,32.38,5.0,5.52,226.64,often,5
483,27.7,44.63,54.94,31.97,7.88,6.43,245.21,often,8
484,37.99,37.6,33.43,29.01,6.34,4.78,566.3,often,0
485,34.23,34.21,44.23,18.39,4.96,3.63,135.17,sometimes,11
486,33.5,39.33,33.25,21.35,4.51,6.0,173.81,sometimes,8
487,31.57,31.31,42.33,30.16,7.37,3.37,349.74,sometimes,0
488,25.14,34.55,27.99,19.42,6.27,10.55,221.77,always,6
489,26.48,32.28,55.04,23.55,2.33,5.65,228.53,sometimes,6
490,31.29,28.72,46.59,14.1,7.11,4.19,271.12,sometimes,2
491,20.62,36.36,44.58,25.17,6.91,7.7,295.01,sometimes,3
492,35.54,29.53,50.88,31.92,3.05,5.15,169.1,often,3
493,35.28,38.54,42.85,31.52,4.53,7.84,101.94,often,4
494,20.71,38.45,31.38,26.29,4.39,9.91,225.63,often,6
495,33.25,35.3,42.22,27.61,4.85,5.78,158.15,often,1
496,33.26,26.54,39.4,19.64,7.04,4.52,271.18,sometimes,3
497,32.47,34.14,35.4,31.83,9.3,5.56,384.13,sometimes,0
498,29.82,34.4,35.38,13.18,3.86,6.76,354.26,sometimes,3
499,27.33,37.92,39.32,25.6,4.82,1.94,394.83,sometimes,2
500,36.49,41.42,40.69,30.58,2.64,6.29,470.34,often,4
501,28.53,32.45,37.11,22.02,8.07,6.42,234.62,often,7
502,25.31,35.85,38.84,33.94,3.55,4.91,358.45,often,8
503,31.22,34.07,45.71,27.34,4.18,4.91,471.61,often,4
504,31.07,32.62,31.74,30.37,7.18,6.15,402.31,often,6
505,30.41,35.62,38.83,19.82,5.4,2.06,284.06,sometimes,5
506,22.14,35.27,51.18,26.18,4.62,4.9,216.2,sometimes,7
507,29.0,35.42,34.7,25.53,6.66,8.04,141.43,sometimes,3
508,22.47,29.61,44.55,28.0,8.75,5.46,296.05,sometimes,4
509,28.72,36.23,32.13,21.35,4.79,3.74,420.07,often,6
510,33.36,34.47,24.18,22.26,7.11,7.24,362.93,always,0
511,28.15,29.13,50.52,23.42,4.13,6.99,142.28,always,2
512,26.59,37.43,37.08,13.04,2.47,9.95,147.74,never,2
513,29.87,37.21,55.44,16.16,4.07,6.06,328.4,sometimes,1
514,32.82,30.35,39.47,20.32,3.96,6.43,428.04,sometimes,8
515,25.46,32.52,56.31,24.91,4.13,4.82,132.73,often,0
516,30.42,30.51,38.13,38.79,3.9,5.96,317.57,sometimes,6
517,24.91,40.06,23.2,23.03,4.73,5.31,314.64,always,4
518,27.91,35.61,34.11,33.16,6.6,6.19,204.56,sometimes,0
519,37.97,31.9,32.5,23.32,5.93,9.08,274.11,always,4
520,32.9,36.83,38.72,30.24,2.96,6.73,159.9,sometimes,6
521,26.5,29.82,47.93,22.66,5.48,9.81,165.17,sometimes,5
522,22.66,32.82,47.87,29.2,7.94,3.29,183.21,sometimes,4
523,26.57,30.49,23.11,24.45,4.24,7.56,510.53,sometimes,5
524,34.64,40.2,26.57,21.93,9.97,7.32,225.83,sometimes,3
525,21.86,30.57,44.11,31.54,4.41,5.08,199.3,sometimes,6
526,20.69,40.89,36.44,33.52,8.15,2.81,312.33,always,6
527,30.91,40.37,49.92,16.08,7.35,10.58,188.69,always,1
528,26.32,28.76,37.12,19.53,3.11,4.27,285.14,often,7
529,37.83,40.26,38.15,17.6,4.57,10.58,129.66,always,4
530,28.82,31.76,31.13,26.45,4.16,7.76,396.7,often,2
531,28.14,39.96,38.06,32.27,8.57,8.67,498.18,often,3
532,34.25,43.22,45.5,32.04,7.22,5.74,428.09,never,0
533,29.57,33.43,43.62,31.4,8.27,8.45,299.31,often,7
534,26.16,35.36,38.74,29.11,5.44,4.77,492.03,always,0
535,27.14,27.64,35.46,21.12,3.39,3.62,144.14,sometimes,3
536,33.72,35.73,52.94,26.94,2.86,6.95,241.66,often,4
537,29.15,27.97,31.3,24.33,4.77,7.67,165.71,never,2
538,27.6,39.96,31.7,28.38,5.39,5.77,344.36,always,0
539,32.16,36.59,39.03,31.36,5.27,7.33,339.95,often,3
540,36.96,40.36,27.39,23.68,4.73,2.54,254.31,often,2
541,26.65,37.92,45.97,20.03,5.72,6.06,157.57,always,7
542,30.22,36.89,27.29,23.51,9.69,5.3,258.17,sometimes,0
543,36.43,28.25,52.31,21.56,6.52,5.85,420.21,sometimes,8
544,31.08,34.01,43.36,18.16,4.63,8.99,234.81,sometimes,6
545,22.64,33.09,30.79,25.68,3.01,2.9,535.54,sometimes,0
546,25.79,29.52,36.74,22.72,6.13,8.97,521.83,often,1
547,30.86,42.02,51.6,33.8,7.68,8.15,334.7,often,2
548,26.69,30.85,25.26,11.05,5.35,5.43,342.01,sometimes,2
549,25.33,29.08,41.71,20.97,5.71,9.7,354.71,never,9
550,26.04,30.75,36.39,22.32,8.72,5.24,171.9,sometimes,5
551,37.11,34.57,50.49,39.33,5.73,8.67,347.88,never,3
552,28.98,34.45,26.65,16.94,3.75,6.7,108.61,often,1
553,29.48,30.07,37.99,30.58,2.75,5.11,471.7,sometimes,2
554,31.89,34.51,37.97,27.66,7.75,7.57,161.01,sometimes,3
555,34.2,34.83,46.64,19.87,4.35,9.82,301.01,never,4
556,30.34,40.99,45.03,26.34,6.14,6.06,290.94,sometimes,3
557,35.68,31.93,36.55,21.75,4.82,2.04,208.81,often,2
558,22.5,32.6,38.7,27.66,3.09,4.46,140.0,sometimes,5
559,35.57,39.17,26.77,17.27,8.19,4.71,221.77,never,3
560,36.02,37.76,47.08,23.67,3.06,5.84,237.15,sometimes,3
561,30.24,34.75,57.17,29.64,3.13,5.38,141.92,sometimes,0
562,32.88,35.59,46.27,24.07,9.59,7.05,463.47,sometimes,6
563,26.48,29.52,22.07,20.73,8.36,4.51,207.27,often,6
564,24.74,40.87,45.25,25.73,3.97,5.51,426.22,sometimes,2
565,28.1,34.3,37.66,17.43,8.25,9.24,154.35,never,6
566,25.98,31.44,44.62,23.16,6.22,4.63,237.4,never,6
567,32.22,31.78,32.94,14.49,4.68,7.67,271.63,often,4
568,30.12,40.27,56.43,17.33,5.84,10.1,231.66,always,6
569,27.6,36.41,44.4,15.58,7.07,6.21,392.46,often,4
570,37.61,30.92,26.12,30.53,7.27,8.03,423.88,never,8
571,25.46,28.99,44.23,25.44,8.53,8.93,388.12,always,2
572,32.06,41.97,43.04,13.89,4.82,5.08,394.99,often,2
573,28.0,40.01,46.33,32.93,2.84,4.01,401.25,sometimes,0
574,32.38,35.24,39.58,38.13,3.8,9.75,151.77,sometimes,0
575,37.52,30.34,42.32,26.85,5.69,4.54,403.03,never,6
576,31.36,32.84,23.93,17.46,3.46,7.29,468.39,sometimes,3
577,31.84,43.17,41.94,37.14,4.38,4.62,241.34,often,4
578,30.6,36.79,40.74,28.0,5.69,3.27,201.66,never,5
579,30.36,29.75,44.99,17.83,4.11,2.7,482.25,often,3
580,23.3,39.86,38.67,26.54,4.01,5.35,269.77,always,9
581,33.63,31.39,43.98,21.29,6.91,5.81,327.39,often,6
582,33.94,32.82,43.56,33.03,5.82,2.46,380.79,sometimes,3
583,30.68,37.35,48.07,29.85,8.85,9.37,131.79,always,4
584,35.34,32.6,38.6,34.01,8.87,5.76,193.77,sometimes,8
585,30.38,35.22,31.09,34.5,4.66,9.03,292.96,often,1
586,25.84,37.08,30.09,18.73,8.4,8.09,390.46,never,4
587,33.38,27.3,56.0,35.81,5.75,5.45,203.88,sometimes,6
588,37.3,30.31,53.56,20.13,8.12,5.32,465.86,always,5
589,29.62,39.52,59.18,27.62,3.81,9.74,226.53,sometimes,5
590,38.33,35.45,35.43,14.73,5.02,5.76,248.91,often,2
591,25.72,34.73,36.64,32.72,5.07,5.81,401.65,often,6
592,24.34,41.98,35.57,23.25,5.44,10.41,411.58,always,3
593,31.65,34.42,42.16,17.57,6.3,4.17,264.37,never,5
594,23.73,28.35,39.56,32.79,4.04,8.34,287.74,never,7
595,26.86,31.37,20.33,22.81,4.8,6.9,146.23,sometimes,2
596,27.38,32.33,36.77,33.1,6.03,4.68,385.61,always,5
597,28.97,32.87,45.94,35.4,5.85,7.06,257.25,sometimes,6
598,29.65,30.39,52.92,21.41,5.42,6.8,326.41,sometimes,6
599,27.09,32.87,39.8,21.27,4.53,3.53,356.18,sometimes,4
600,31.13,33.61,28.0,13.72,6.05,3.73,464.19,sometimes,3
601,34.51,34.39,30.54,22.59,7.68,4.23,221.04,sometimes,5
602,35.69,36.12,53.6,31.82,3.95,9.98,513.31,often,6
603,37.77,37.93,40.41,19.75,2.89,4.64,284.89,never,5
604,30.48,33.63,44.05,37.63,5.9,6.86,278.61,often,2
605,27.61,37.4,29.75,15.26,5.57,9.37,435.48,sometimes,9
606,30.45,35.81,40.36,25.15,2.9,3.26,180.0,often,2
607,27.09,37.72,33.18,22.84,5.76,6.91,424.8,often,6
608,26.2,35.91,39.23,27.3,4.8,4.85,331.8,sometimes,5
609,22.52,31.92,23.69,20.76,4.89,2.87,253.81,always,8
610,35.4,33.32,46.17,19.91,4.71,6.39,193.37,often,3
611,28.87,41.66,22.86,24.41,6.06,7.03,383.01,often,7
612,30.91,39.82,23.83,17.86,2.75,8.75,262.88,sometimes,0
613,31.01,32.59,34.21,20.77,3.98,6.81,297.55,often,5
614,38.32,40.15,23.06,20.41,7.83,4.34,207.76,sometimes,3
615,31.57,39.38,49.11,32.14,6.18,8.77,277.88,never,0
616,25.83,37.29,38.15,25.76,7.09,6.54,349.51,sometimes,5
617,29.28,35.21,41.17,21.32,6.84,5.52,174.11,sometimes,1
618,29.78,32.62,40.6,35.59,8.09,9.16,102.83,often,5
619,21.13,31.61,33.69,20.98,3.25,4.3,560.91,sometimes,3
620,29.09,33.18,52.06,17.28,5.47,4.8,195.83,often,4
621,27.89,34.37,42.52,20.94,8.23,5.32,353.44,often,5
622,27.29,38.83,54.88,14.5,6.97,4.15,320.28,always,4
623,31.19,33.39,27.62,25.92,6.27,1.58,499.41,sometimes,3
624,23.71,36.31,29.5,32.36,4.58,5.3,341.9,sometimes,7
625,31.19,31.45,27.54,28.72,3.84,3.97,429.06,always,1
626,30.06,35.77,52.68,37.18,5.74,3.38,247.62,often,3
627,30.35,36.12,38.41,12.76,3.79,5.39,509.48,sometimes,4
628,33.12,36.85,31.77,30.82,5.84,4.07,369.3,always,1
629,22.98,33.65,40.12,18.02,6.69,10.01,408.41,always,5
630,26.77,41.13,31.47,15.12,9.24,10.11,124.56,sometimes,1
631,34.34,29.62,43.67,21.97,6.92,4.46,171.46,often,7
632,28.95,27.7,45.16,30.16,5.16,8.33,345.72,often,8
633,31.68,39.37,46.52,14.8,4.84,6.38,377.54,never,7
634,29.81,33.35,33.76,24.52,8.11,4.19,86.5,always,6
635,26.31,30.92,42.22,21.21,7.51,4.41,322.2,never,3
636,28.9,37.02,33.48,33.72,3.1,5.55,181.25,often,6
637,35.25,32.52,32.82,35.39,5.96,5.18,282.96,often,6
638,29.0,39.38,37.31,27.26,8.95,8.21,160.21,sometimes,6
639,24.11,27.99,27.77,13.65,4.27,5.18,376.59,never,4
640,35.08,36.23,53.82,20.12,5.37,4.92,438.25,sometimes,9
641,35.8,36.46,38.66,23.6,7.65,1.85,406.7,often,0
642,24.75,37.71,38.62,16.65,7.3,7.26,337.08,always,3
643,26.1,31.01,42.58,24.88,8.98,3.13,408.22,often,2
644,32.49,38.51,28.81,29.99,6.73,5.79,133.94,often,6
645,33.98,32.61,40.2,17.03,7.09,1.41,269.25,sometimes,3
646,25.57,33.68,54.22,32.96,5.08,7.75,210.96,never,0
647,29.78,34.87,42.22,20.66,5.32,9.05,250.32,often,3
648,32.92,31.67,47.32,33.89,7.34,5.85,310.27,often,6
649,34.35,36.96,26.47,26.88,2.59,4.74,200.8,never,0
650,29.28,25.86,54.13,31.89,5.48,5.63,423.46,always,0
651,28.44,34.51,40.45,21.98,6.26,4.49,328.05,sometimes,5
652,31.95,32.14,47.95,34.43,3.94,8.09,313.44,sometimes,7
653,28.74,34.57,54.32,22.22,7.76,8.57,321.16,sometimes,6
654,30.49,37.73,31.87,26.87,2.95,6.14,311.6,sometimes,0
655,28.87,34.95,35.63,13.89,5.23,6.82,469.38,never,3
656,21.55,27.57,45.45,23.81,3.98,7.45,300.36,always,3
657,38.41,42.82,39.12,27.7,4.73,4.1,115.94,often,3
658,33.06,38.04,36.77,31.73,8.06,3.64,516.95,always,0
659,33.78,39.48,46.26,31.92,6.66,5.56,569.59,never,5
660,31.02,43.74,50.31,33.42,4.35,7.42,94.07,sometimes,4
661,23.53,38.11,32.61,25.11,4.6,5.88,491.86,sometimes,2
662,26.65,39.26,33.37,20.22,4.44,6.47,97.59,sometimes,6
663,24.53,30.48,25.2,16.52,5.05,2.96,277.12,always,8
664,30.75,36.17,34.02,33.03,4.15,9.87,180.28,sometimes,6
665,30.84,36.98,52.3,36.67,5.61,4.38,233.13,sometimes,1
666,21.84,37.55,32.49,12.73,3.97,6.66,225.05,never,3
667,22.53,38.48,29.87,22.13,6.46,9.11,175.1,often,2
668,32.94,39.49,29.64,33.92,5.88,2.78,226.68,always,5
669,31.36,29.53,43.25,14.62,5.72,8.11,288.16,often,2
670,27.67,41.62,40.51,14.47,9.16,6.35,261.6,often,1
671,29.79,33.86,34.52,18.55,6.85,7.55,411.43,always,9
672,26.24,40.02,44.56,26.9,5.81,6.08,337.37,never,6
673,38.32,38.0,40.72,18.75,5.26,3.39,328.86,sometimes,3
674,24.08,38.95,52.86,16.51,8.17,5.2,95.19,always,0
675,27.55,35.46,52.81,26.94,4.92,2.46,507.14,sometimes,3
676,37.8,34.93,50.08,22.7,7.68,4.84,224.64,sometimes,0
677,30.58,36.03,43.84,16.93,5.07,6.65,462.33,never,7
678,29.87,35.81,45.73,32.02,6.21,4.5,486.2,always,3
679,33.02,41.65,43.26,14.7,2.97,4.98,536.03,sometimes,7
680,29.69,37.42,20.99,23.47,6.47,8.93,265.9,often,0
681,31.48,40.8,43.98,24.92,4.79,3.48,388.84,sometimes,0
682,27.41,30.34,39.49,20.69,2.96,9.95,435.16,often,10
683,25.01,41.11,39.32,15.7,5.4,6.56,130.26,always,4
684,29.55,36.52,53.7,21.42,4.41,8.17,68.39,sometimes,0
685,32.22,33.0,39.92,30.96,9.06,6.89,499.82,always,3
686,31.08,30.6,43.72,25.04,5.77,7.45,240.48,sometimes,2
687,29.22,34.73,42.66,22.3,7.52,8.51,205.03,always,4
688,36.37,35.62,47.18,25.17,7.08,6.19,342.53,often,4
689,33.28,30.62,33.35,20.67,6.95,5.16,85.13,sometimes,4
690,34.86,36.03,31.89,21.92,2.43,5.29,482.74,often,8
691,33.3,35.64,32.26,28.54,4.74,3.85,252.7,always,0
692,34.89,34.64,51.63,25.96,5.53,4.94,376.76,always,3
693,35.19,34.74,25.59,28.61,5.55,6.43,182.38,always,7
694,26.24,27.84,32.5,27.65,6.21,7.35,433.73,sometimes,4
695,30.86,33.77,44.7,26.64,5.6,5.45,250.61,often,0
696,26.75,42.66,42.8,16.6,2.26,10.19,286.83,often,6
697,28.14,33.45,49.94,19.0,5.15,7.67,243.35,often,3
698,32.42,40.43,39.93,25.28,7.76,7.53,297.42,sometimes,0
699,34.86,41.5,37.48,29.18,5.69,7.22,220.55,sometimes,5
700,28.3,35.51,39.04,25.3,3.19,1.62,346.79,sometimes,5
701,27.19,36.13,48.62,24.29,6.66,7.62,285.16,often,1
702,30.45,35.64,43.4,29.77,5.38,8.79,121.8,sometimes,0
703,35.85,37.14,34.69,22.43,5.09,8.83,563.09,often,3
704,34.23,27.96,35.21,19.52,2.32,5.97,287.38,often,6
705,34.66,41.87,46.49,13.43,5.76,5.68,422.55,often,4
706,30.3,30.02,47.87,22.98,4.27,3.25,295.28,sometimes,2
707,24.66,31.06,33.32,30.75,7.67,4.34,547.07,always,6
708,30.93,37.61,31.95,16.81,5.71,8.32,332.97,always,0
709,25.09,37.34,35.22,21.67,5.58,9.0,276.88,sometimes,4
710,27.99,36.16,37.38,34.26,8.5,5.36,323.92,often,3
711,32.5,35.77,45.82,23.6,6.83,7.49,232.45,sometimes,0
712,22.54,34.87,44.66,25.62,4.81,2.84,475.86,sometimes,6
713,33.16,31.73,32.31,19.11,6.57,5.46,574.55,never,3
714,31.75,31.86,44.81,29.46,7.91,10.6,371.84,often,7
715,29.01,37.17,34.83,19.35,5.08,5.55,236.78,never,2
716,29.51,38.68,50.77,24.67,6.06,2.96,249.28,sometimes,3
717,37.62,28.56,55.5,13.44,9.13,8.0,539.97,often,0
718,31.61,38.2,37.56,36.07,4.72,9.93,363.61,always,4
719,29.17,33.83,29.63,30.2,5.78,4.0,525.46,often,4
720,30.65,34.66,31.49,29.59,6.95,4.37,241.45,often,5
721,32.29,33.22,33.7,17.23,4.09,6.99,397.47,sometimes,3
722,35.21,34.6,27.89,18.19,6.24,2.6,277.98,often,1
723,25.39,36.27,43.49,33.29,3.87,9.1,455.71,always,4
724,36.7,36.51,37.06,13.74,6.55,5.1,215.07,always,0
725,21.83,35.77,52.15,20.31,4.45,5.91,260.36,always,0
726,25.5,36.81,32.32,24.08,5.31,7.95,167.79,often,10
727,27.67,37.29,41.86,26.0,5.49,3.73,357.94,sometimes,6
728,30.4,33.73,40.99,21.94,5.66,7.97,447.76,sometimes,4
729,24.36,37.56,58.74,21.16,4.49,4.91,291.1,always,4
730,31.43,35.33,36.03,35.68,8.51,7.8,414.26,sometimes,1
731,26.77,34.67,40.98,24.95,9.17,5.21,462.55,never,0
732,29.17,39.3,45.0,28.43,4.97,3.71,358.06,often,4
733,32.31,28.72,34.44,25.89,5.56,4.16,150.42,often,4
734,31.16,30.75,40.56,20.9,6.55,4.88,363.62,often,7
735,34.18,37.01,30.44,29.99,7.01,6.33,387.25,sometimes,4
736,27.15,38.89,36.37,31.37,5.33,5.73,240.57,sometimes,4
737,31.29,39.68,47.66,31.35,6.71,6.98,477.21,often,7
738,34.76,29.28,45.7,30.24,5.46,2.67,248.33,often,4
739,31.43,35.74,39.67,15.01,3.01,3.74,149.54,sometimes,4
740,33.38,31.5,34.65,28.33,3.22,10.07,435.01,always,6
741,26.9,31.62,46.35,22.11,4.55,8.37,410.29,sometimes,6
742,28.46,37.13,38.35,22.88,4.27,4.08,321.23,sometimes,5
743,24.65,29.94,38.23,22.62,4.87,5.03,205.31,often,3
744,28.08,33.46,35.84,23.51,6.85,3.52,347.36,always,6
745,25.64,34.36,47.58,23.36,4.96,6.28,328.78,sometimes,11
746,33.81,35.09,29.24,26.73,4.29,8.04,187.16,sometimes,0
747,35.59,31.95,20.91,19.67,5.13,6.53,207.54,often,8
748,30.97,32.43,40.08,20.47,2.66,4.51,337.29,always,5
749,36.3,35.66,45.09,30.67,4.54,7.11,283.04,sometimes,5
750,32.58,28.0,43.13,14.35,5.35,9.82,467.05,always,0
751,26.84,29.4,34.86,19.87,6.11,5.92,243.01,sometimes,4
752,29.2,33.06,31.02,38.05,4.98,8.88,269.92,often,5
753,34.17,35.1,44.64,24.71,3.88,3.85,345.54,often,6
754,32.89,30.8,30.05,30.28,5.69,7.78,436.35,sometimes,6
755,33.74,36.98,29.1,30.85,5.62,5.22,158.73,often,0
756,23.8,37.97,39.56,21.15,3.7,6.4,328.2,sometimes,5
757,34.98,36.81,33.84,17.16,8.48,8.27,523.63,often,5
758,30.52,38.13,46.25,25.91,7.23,4.99,238.62,often,4
759,29.45,28.45,43.69,24.02,5.1,3.96,242.41,never,7
760,31.41,32.4,55.99,34.56,3.07,6.82,505.24,sometimes,5
761,23.69,30.27,23.22,22.44,5.24,6.39,352.67,often,5
762,26.03,29.79,39.21,16.47,4.48,3.82,116.83,sometimes,5
763,29.96,31.3,40.83,37.07,6.57,6.76,384.94,sometimes,1
764,26.62,35.96,45.52,28.9,9.09,3.72,284.56,often,0
765,30.93,28.55,55.68,29.85,5.79,6.96,290.41,sometimes,6
766,25.49,37.77,35.09,23.52,8.02,7.74,183.03,often,1
767,26.78,33.71,32.72,26.18,4.64,6.25,535.86,often,2
768,24.17,33.29,48.1,15.11,3.74,9.33,141.14,never,1
769,23.9,36.09,33.31,22.81,6.8,5.05,125.27,always,2
770,30.23,35.35,35.18,24.09,2.78,8.16,243.39,often,0
771,33.69,33.25,42.86,33.49,7.98,6.5,432.67,always,7
772,27.72,38.37,44.12,29.09,8.1,8.9,184.93,sometimes,4
773,36.73,37.96,37.69,13.17,5.39,7.61,533.52,always,6
774,28.91,37.15,39.04,21.08,5.05,8.22,399.57,often,1
775,28.26,36.82,23.19,28.78,4.72,7.51,437.74,never,1
776,27.86,32.5,42.6,23.95,5.46,6.81,120.2,sometimes,4
777,29.39,37.14,44.78,17.51,3.09,8.43,252.87,never,5
778,25.6,35.43,29.34,20.48,7.78,2.35,130.25,often,4
779,31.64,32.05,32.57,18.12,3.98,4.66,204.44,often,2
780,30.46,37.83,48.25,13.23,5.91,7.49,214.69,sometimes,6
781,27.51,38.82,29.14,24.58,3.51,5.8,204.57,often,3
782,29.17,29.96,51.46,17.6,6.05,4.5,354.3,always,4
783,28.99,35.11,53.54,27.38,7.54,6.58,242.08,sometimes,4
784,21.18,35.75,48.53,15.92,3.88,4.22,453.74,sometimes,4
785,30.62,31.24,49.28,35.98,6.09,5.82,437.96,never,6
786,27.14,42.28,43.57,31.8,4.96,8.38,522.81,sometimes,0
787,39.21,35.54,49.49,15.1,5.88,6.38,464.78,always,5
788,31.43,38.84,45.67,31.01,4.55,3.91,340.91,often,3
789,29.79,43.52,37.01,22.94,2.97,7.44,435.07,never,6
790,33.14,39.32,28.57,17.07,4.72,6.77,111.02,often,5
791,35.23,35.8,37.27,33.41,2.71,8.83,370.71,often,6
792,39.58,32.81,47.21,34.17,2.79,7.49,469.34,sometimes,6
793,26.57,43.98,40.75,26.51,5.51,4.27,173.65,often,9
